username,country,size,number_of_posts,followers_collection_time,first_post,last_post
_danny_liedtke_,DE,micro,1292,467408,2015-03-14 13:46:29,2022-09-22 12:17:28
_jessedrent,NL,micro,3575,419127,2012-08-20 15:07:21,2022-09-18 05:54:58
